[QR-corr] 0 0.000367 0.000367 0 0.000000 0.0000 0 1000000 0.0238 0.0241
[QR-corr] 90 0.000385 0.000335 0 0.000000 0.0000 8 1000000 0.0511 0.0505
[QR-corr] 180 0.000421 0.000263 0 0.000000 0.2416 8 1000000 0.0309 0.0324
[QR-corr] 270 0.000471 0.000160 0 0.000000 1.1596 8 1000000 0.0089 0.0154
[QR-corr] 360 0.000531 0.000051 0 0.000000 2.0182 8 1000000 0.0028 0.0097
[QR-corr] 450 0.000659 0.000615 0 0.000000 3.0047 8 1000000 0.0231 0.0238
[QR-corr] 540 0.000724 0.000615 0 0.000000 11.8574 8 1000000 0.0231 0.0238
[QR-corr] 630 0.000791 0.000615 0 0.000000 13.4579 8 1000000 0.0231 0.0238
[QR-corr] 720 0.000857 0.000468 0 0.000000 6.1962 8 1000000 0.0310 0.0321
[QR-corr] 810 0.000921 0.000502 0 0.000000 5.7949 8 1000000 0.0348 0.0316
[QR-corr] 900 0.000982 0.000344 0 0.000000 -0.6963 8 1000000 0.0166 0.0187
[QR-corr] 990 0.001039 0.000122 0 0.000000 -0.8156 8 1000000 0.0046 0.0110
[QR-corr] 1080 0.001092 0.000087 0 0.000000 -9.7225 8 1000000 0.0039 0.0086
[QR-corr] 1170 0.001140 0.000188 0 0.000000 -3.9449 8 1000000 0.0050 0.0074
[QR-corr] 1260 0.001184 0.000181 0 0.000000 10.9555 8 1000000 0.0038 0.0065
[QR-corr] 1350 0.001222 0.000092 0 0.000000 10.2612 8 1000000 0.0024 0.0057
[QR-corr] 1440 0.001257 0.000042 0 0.000000 19.7583 8 1000000 0.0020 0.0052
[QR-corr] 1530 0.001289 0.000114 0 0.000000 22.2294 8 1000000 0.0019 0.0047
[QR-corr] 1620 0.001319 0.000125 0 0.000000 16.4736 8 1000000 0.0017 0.0043
[QR-corr] 1710 0.001347 0.000072 0 0.000000 13.9215 8 1000000 0.0014 0.0040
[QR-corr] 1800 0.001374 0.000029 0 0.000000 17.4413 8 1000000 0.0012 0.0038
[QR-corr] 1890 0.001402 0.000084 0 0.000000 13.0287 8 1000000 0.0011 0.0036
[QR-corr] 1980 0.001431 0.000096 0 0.000000 15.1010 8 1000000 0.0010 0.0034
[QR-corr] 2070 0.001462 0.000058 0 0.000000 26.9627 8 1000000 0.0009 0.0033
[QR-corr] 2160 0.001496 0.000026 0 0.000000 28.5223 8 1000000 0.0009 0.0031
[QR-corr] 2250 0.001533 0.000070 0 0.000000 21.9853 8 1000000 0.0008 0.0030
